gene,w,component,w_abs
Bc1,3.09444e-06,1,3.09444e-06
Pold1,3.0866672e-06,1,3.0866672e-06
Tceal6,-3.0843555e-06,1,3.0843555e-06
Srms,-3.0821227e-06,1,3.0821227e-06
Exd2,3.0708106e-06,1,3.0708106e-06
Dennd2d,-3.0531185e-06,1,3.0531185e-06
0610040J01Rik,-3.042257e-06,1,3.042257e-06
Plekhf1,3.039282e-06,1,3.039282e-06
Alkbh1,-3.0320361e-06,1,3.0320361e-06
Radil,-3.0311317e-06,1,3.0311317e-06
Stc2,-3.0298145e-06,1,3.0298145e-06
Vmn2r57,-3.0283932e-06,1,3.0283932e-06
Cr1l,3.0273172e-06,1,3.0273172e-06
Sned1,3.0171677e-06,1,3.0171677e-06
AC132307.1,-3.0164829e-06,1,3.0164829e-06
Zdhhc22,3.016348e-06,1,3.016348e-06
Pxylp1,3.0127026e-06,1,3.0127026e-06
A330069K06Rik,3.009114e-06,1,3.009114e-06
Ppcdc,3.006119e-06,1,3.006119e-06
Nlrc3,-3.0037506e-06,1,3.0037506e-06
Rapgef4,2.9981788e-06,1,2.9981788e-06
Noc2l,2.9968949e-06,1,2.9968949e-06
Iscu,2.9940743e-06,1,2.9940743e-06
Nudt5,-2.9897685e-06,1,2.9897685e-06
Gkap1,-2.9876883e-06,1,2.9876883e-06
Chchd4,-2.9660362e-06,1,2.9660362e-06
B3gnt2,2.9654775e-06,1,2.9654775e-06
